Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
"McConkey et al. 2002, 2003; Mather 1992",,Hylobates,H. albibarbis x muelleri,"Rekut, Barito Ulu, Central Kalimantan",,,,,1996-1997,0.12,,225.00,2585.00,,,,5000,46.00,8.20,2.34,1,4,12,438,,,,,,,,,,,,,,,,,,,,,,,,,
"McConkey et al. 2002, 2003; Mather 1992",,Hylobates,H. albibarbis x muelleri,"Rekut, Barito Ulu, Central Kalimantan",,,,,1996-1997,0.12,,225.00,2585.00,,,,5000,43.00,8.20,2.34,1,4,12,438,,,,,,,,,,,,,,,,,,,,,,,,,
Rodman 1978,,Hylobates,H. muelleri,"Mentoko, Kutai, East Kalimantan, Borneo",,,,,"1970-1971, 1975",0.24,117.06,150,,,,,200,,14.60,3.60,10,40,17,,,,,,,,56,42,,2,,,,,,,,,,,,,,,
Leighton 1987; Robbins et al. 1991,,Hylobates,H. muelleri,"Mentoko, Kutai, East Kalimantan, Borneo",,,,,1978-1979,0.24,117.06,,,,,,,36.00,10.29,3.00,1,3,15,,,,,,38,24,62,32,4,2,2,,,,,,,,,,,,,,
Sultan 2009,Masters,Hylobates,H. agilis,"HP (hutan primer), Batang Gadis, North Sumatra",,,,,2006-2007,0.37,,685,,,,,894,,,,3,10,5,,7,6,5,,,,,,,,,,,,,,,,,,,,,,
Sultan 2009,Masters,Hylobates,H. agilis,"Batang Gadis, North Sumatra, Indonesia",,,,,2006-2007,0.37,,762,,,,,932,,,,14,45,5,,20,13,10,,,,85,10,5,,,,,,,,,,,,,,,,
Sultan 2009,Masters,Hylobates,H. agilis,"HBL (hutan betas ladang), Batang Gadis, North Sumatra",,,,,2006-2007,0.37,,781,,,,,61,,,,5,15,5,,13,10,8,,,,,,,,,,,,,,,,,,,,,,
Sultan 2009,Masters,Hylobates,H. agilis,"HBT (hutan betas tebangan), Batang Gadis, North Sumatra",,,,,2006-2007,0.37,,820,,,,,77,,,,6,20,5,,17,11,8,,,,,,,,,,,,,,,,,,,,,,
Bangun et al. 2009; Bangun 2007,Masters,Hylobates,H. agilis,"Batang Gadis, North Sumatra, Indonesia",,,,,2005,1.12,99.29,802,,,,,864,,8.82,2.60,12,41,3,,12,10,8,,,,86,14,,,,,,,,,,,,,,,,,
Nowak 2011 (Group A); Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,76.99,6.38,1.91,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group A); Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,35.66,2.90,1.16,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group B); Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,58.47,6.38,1.91,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group B); Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,67.51,2.90,1.16,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group C); Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,61.29,6.38,1.91,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group C); Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,44.57,2.90,1.16,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group D); Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,58.51,6.38,1.91,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group D); Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,60.92,2.90,1.16,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group E); Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,69.22,6.38,1.91,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group E); Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,60.07,2.90,1.16,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group F); Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,74.47,6.38,1.91,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011 (Group F); Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,53.44,2.90,1.16,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowak 2011; Nurmansyah 2012,,Hylobates,H. agilis,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,99.01,1000.00,1717.5,,,,810,8.00,6.38,1.91,6,20,8,137.1166667,16,13,11,3,,,,,,,,,,,,,,,,,,,,,
Nowak 2011; Nurmansyah 2012,,Symphalangus,S. syndactylus,"Kawasan Hutan Batang Toru Bagian Barat (KHBTBB), HPH Teluk Nauli, Sumatra",,,,,2010,1.41,,1000.00,1717.5,,,,810,8.00,2.90,1.16,6,15,8,137.1166667,15,10,9,,,,,,,,,,,,,,,,,,,,,,
Noor et al. 2005,,Hylobates,H. lar,"Pasoh, Negeri Sembilan, Malay Peninsula",,,,,2004,2.98,,140,,,,,0.08,8.00,,,1,5,6,28,,,,,,,,,,,,,,,,,,,,,,,,,
Palombit 1997; 1992 (Group A),,Hylobates,H. lar,"Ketambe, Gunung Leuser, Sumatra",,Continuous focal animal sampling half hour sessions,,,1986-1987,3.4,,350.00,3400.00,,,,"10,000",,4.67,1.00,1,5,24,456.0,,,,,,,72.00,4.00,2.00,22.00,22,,,,,,,,,,,,,,
Palombit 1997; 1992 (Group A; G),,Hylobates,H. lar,"Ketambe, Gunung Leuser, Sumatra",,Continuous focal animal sampling half hour sessions,,,1986-1987,3.4,,350.00,3400.00,,,,"10,000",,4.67,1.00,2,9,24,716.0,57,40,28,3,26.00,45.00,71.00,4.00,1.00,24.00,24,,,,,,,,,,,,,,
Palombit 1997; 1992 (Group C),,Symphalangus,S. syndactylus,"Ketambe, Gunung Leuser, Sumatra",,Continuous focal animal sampling half hour sessions,,,1986-1987,3.4,,350.00,3400.00,,,,"10,000",,4.00,1.00,1,3,24,311.0,,,,,,,65.00,19.00,1.00,15.00,15,,,,,,,,,,,,,,
Palombit 1997; 1992 (Group G),,Hylobates,H. lar,"Ketambe, Gunung Leuser, Sumatra",,Continuous focal animal sampling half hour sessions,,,1986-1987,3.4,,350.00,3400.00,,,,"10,000",,4.67,1.00,1,4,24,260.0,,,,,,,70.00,4.00,1.00,25.00,25,,,,,,,,,,,,,,
Palombit 1997; 1992 (Group P),,Symphalangus,S. syndactylus,"Ketambe, Gunung Leuser, Sumatra",,Continuous focal animal sampling half hour sessions,,,1986-1987,3.4,,350.00,3400.00,,,,"10,000",,4.00,1.00,1,6,23,349.5,,,,,,,56.00,15.00,1.00,28.00,28,,,,,,,,,,,,,,
Palombit 1997; 1992 (Group P; C),,Symphalangus,S. syndactylus,"Ketambe, Gunung Leuser, Sumatra",,Continuous focal animal sampling half hour sessions,,,1986-1987,3.4,,350.00,3400.00,,,,"10,000",,4.00,1.00,2,9,24,660.5,64,46,31,4,18.00,43.00,61.00,17.00,1.00,21.20,21,,,,,,,,,,,,,,
West 1981 via Chivers 2001,,Symphalangus,S. syndactylus,"Ketambe, Gunung Leuser, Sumatra",,,,,,3.4,,,,,,,10000,,,2.00,,,,,,,,,17,42,59,24,4,2,2,,,,,,,,,,,,,,
Ungar 1992;1994; 1995,,Hylobates,H. lar,"Ketambe, Sumatra",,Scan sampling every five minutes; continuous focal animal sampling half hour sessions,,,1990-1991,3.41,,375.00,3400.00,,,,7927,,,,2,5,10,437.2,43,28,19,4,11.31,75.00,86.31,2.84,,8.60,2.25,,,,,,,,,,,,,,
Raemaekers 1979; Raemaekers 1985; Chivers et al. 1980; Chivers 1985,,Hylobates,H. lar,"Kuala Lompat, Krau Reserve, Malaysia Peninsula",,Scan sampling every ten minutes,,MCP,1975-1976,3.43,,50.00,2000.00,,,,,57.00,6.10,1.74,1,4,12,1420.0,75,48,27,,28.00,22.00,50.00,29.00,7.00,13.00,13,,,,,,,,,,,,,,
Subramaniam 1981,,Hylobates,H. lar,"Kuala Lompat, Krau Reserve, Pahang",,,,,1981,3.43,,50.00,,,,,510,,,,1,,12,,35,,,,,,,,,,,,,,,,,,,,,,,,
Chivers et al. 1975; Raemaekers et al. 1980; Caldecott 1980 (TS1),,Symphalangus,S. syndactylus,"Kuala Lompat, Krau Reserve, Pahang",,,,,1969-1973,3.43,,50.00,1982.00,,,,510,42.20,4.50,1.50,1,5,44,1100.0,66,,,,10.00,31.00,41.00,50.00,5.00,4.00,4,,,,,,,,,,,,,,
Chivers & Raemaekers 1980; Caldecott 1980; Chivers et al. 1980; Chivers 1985; Raemaekers 1985 (TS1; TSA),,Symphalangus,S. syndactylus,"Kuala Lompat, Krau Reserve, Pahang",,,,,1969-1979,3.43,,50.00,1982.00,,,,510,41.00,4.50,1.50,1,4,121,4704.3,106,68,38,,,,44.00,48.00,,,8.00,,,,,,,,,,,,,,
Chivers et al. 1975; Raemaekers et al. 1980; Caldecott 1980 (TS1A),,Symphalangus,S. syndactylus,"Kuala Lompat, Krau Reserve, Pahang",,,,,1971-1973,3.43,,50.00,1982.00,,,,510,29.80,4.50,1.50,1,3,20,650.0,,,,,23.00,20.00,43.00,45.00,4.00,8.00,8.00,,,,,,,,,,,,,,
Raemaekers 1979; Chivers & Raemaekers 1980; Caldecott 1980 (TS1),,Symphalangus,S. syndactylus,"Kuala Lompat, Krau Reserve, Pahang",,Scan sampling every ten minutes,,,1975-1976,3.43,,50.00,1693.00,,,,510,47.00,4.50,1.50,1,4,12,1157.7,167,,,,14.00,22.00,36.00,43.00,6.00,15.00,15,,,,,,,,,,,,,,
Chivers 1974; Chivers 1977 (Group RS2); Elder 2009,,Symphalangus,S. syndactylus,"Ulu Sempam, Bukit Fraser Forest Reserve, Pahang",,,,,1970,3.44,,2000,1594.00,,,,,,,,1,4,4,223.67,,,,,,,47.29,50.18,1.81,0.72,0.72,,,,,,,,,,,,,,
"Johns 1986, 1985, 1988",,Hylobates,H. lar,"Compartment 13C, Sungai Tekam, Pahang",,Scan sampling every five minutes,,,1979-1980,4.1,,375,,,,,315,18.00,8.25,2.50,2,,14,,,,,,50,27,77,12,8,2,2,,,,,,,,,,,,,,
"Johns 1986, 1985, 1988",,Hylobates,H. lar,"Compartment 13C, Sungai Tekam, Pahang",,Scan sampling every five minutes,,,1979-1981,4.1,,375,,,,,315,15.50,8.25,2.50,2,,26,,,,,,51,17.5,68.5,24,4,3,3,,,,,,,,,,,,,,
"Johns 1986, 1985, 1988",,Hylobates,H. lar,"Compartment 13C, Sungai Tekam, Pahang",,Scan sampling every five minutes,,,1980-1981,4.1,,375,,,,,315,13.00,8.25,2.50,2,,12,,,,,,52,8,60,36,0,4,4,,,,,,,,,,,,,,
Gittins 1982 (Group DG1),,Hylobates,H. agilis,"Sungai Dal, Gunung Bubu, Malaysia Peninsula",,Scan sampling every ten minutes,,,1975-1976,4.45,100.49,512.50,1422.00,,,,380,29.00,18.70,4.25,1,4,11,890.0,58,30,23,7,41.00,17.00,58.00,39.00,3.00,1.00,1,,,,,,,,,,,,,,
Inoue et al. 2016 (SAPA group); Kanamori et al. 2016,,Hylobates,H. funereus,"Danum Valley, Yayasan Sabah Forest, Sabah, Borneo",,Instantaneous focal sampling every ten minutes,,,2003-2008,5.017,117.44,180.00,3130.8,,,,438,34.00,,,1,2,65,724,,,,,38,27,65,34.5,0.5,,,,,,,,,,,,,,,,
Inoue et al. 2016 (JACUZZI group); Kanamori et al. 2016,,Hylobates,H. funereus,"Danum Valley, Yayasan Sabah Forest, Sabah, Borneo",,Instantaneous focal sampling every ten minutes,,,2011-2013,5.017,117.44,180.00,3130.8,,,,438,33.00,,,1,3,24,247,,,,,14,43,57,42.5,0.5,,,,,,,,,,,,,,,,
MacKinnon 1977; Wich et al. 2010,,Hylobates,H. muelleri,"Ulu Segama, Sabah",,,,,1968-1970,5.04,,373,,,,,,,10.50,3.00,8,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group HQ1),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.25,,140.00,2175.00,,,,520.7,48.10,4.50,1.00,1,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013,,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.26,,200.00,2237.50,,,,799.2,41.70,8.92,1.98,8,43,12,,34,18,16,5,43.04,38.61,81.65,9.49,8.86,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Bau sau 1),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.28,,275.00,2175.00,,,,520.7,14.21,20.21,4.49,1,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group Bau sau 2),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.28,,275.00,2175.00,,,,520.7,19.24,20.21,4.49,1,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group Da mi 1),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.29,,140.00,2175.00,,,,520.7,61.40,6.45,1.43,1,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group Da mi 2),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.29,,140.00,2175.00,,,,520.7,41.12,6.45,1.43,1,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group Da mi 3),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.29,,140.00,2175.00,,,,520.7,55.93,6.45,1.43,1,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group Da mi 4),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.29,,140.00,2175.00,,,,520.7,48.98,6.45,1.43,1,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Bach et al. 2017,,Nomascus,N. gabriellae,"Nam Cat Tien, Cat Tien National Park, Vietnam",,Scan sampling every five minutes,,,2014-2015,11.32,107.23,,2240.00,37.2,14.3,25,,,,0.72,1,3,12,1390,69,,35,,2.5,40.8,43.3,38.4,11.6,6.5,0.5,,,,,,,,,,,,,,
Kenyon 2007; Thuat & Mai 2013 (Group Ben cau 1),,Nomascus,N. gabriellae,"Cat Tien National Park, Vietnam",Southeastern Indochina dry evergreen forest,Scan sampling every five minutes,,,2004-2005,11.42,,300.00,2675.00,,,,278.5,60.50,4.50,1.00,1,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Barca et al. 2016; Gray et al. 2014; Nuttall et al. 2013,,Nomascus,N. gabriellae,"Seima Protection Forest, Ou Raing, Mondulkiri, Cambodia",,,,,2014-2015,12.19,,450.00,2500,,,,15145,,1.47,0.60,1,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Srikosamatara 1984; Brockelman & Srikosamatara 1984 (Group G1),,Hylobates,H. pileatus,"Ta Riu, Khao Soi Dao, Thailand",,Scan sampling every five minutes,,,1978-1979,12.59,,375.00,2045.00,,,,1024,36.00,24.32,6.40,1,6,12,330.0,21,20,17,,45.00,26.00,71.00,13.00,0.00,15.00,15,,,,,,,,,,,,,,
Hon 2016 (Group A); Pedrono et al. 2009; Ironside & Baird 2003,,Nomascus,N. annamensis,"Veun Sai-Siem Pang Conservation Area, Ratanakiri, Cambodia",,,,,2015,14.01,,100,2268.00,,,,4441,50.00,1.12,0.32,1,5,4,235,37,26,20,35,45.56,14.8,60.36,25.9,13.74,,,,,,,,,,,,,,,,
Frechette 2014; Hon 2016; Pedrono et al. 2009; Ironside & Baird 2003,,Nomascus,N. annamensis,"Veun Sai-Siem Pang Conservation Area, Ratanakiri, Cambodia",,Scan sampling every ten minutes,,,2007-2013,14.01,,100,2268.00,,,,4441,,1.12,0.32,1.00,4.00,66,1462,22,21,17,29,63.89,14.24,78.13,,,,,,,,,,,,,,,,,,
Frechette et al. 2017,,Nomascus,N. annamensis,"Veun Sai-Siem Pang Conservation Area, Ratanakiri, Cambodia",,Scan sampling every ten minutes,,,2007-2013,14.01,106.44,100,1919.00,,,,4441,127.00,,,1.00,4.00,66,1368,56,,,,44.6,14,58.6,28.8,10.6,1.4,,,,,,,,,,,,,,,
Suwanvecho & Brockelman 2012; Reichard & Barelli 2008 (Group LA),,Hylobates,H. lar,"Khlong Sai, Khao Yai, Thailand",,,,,2001,14.25,,750.00,1774.00,,,,6199.00,47.20,,,1,6,12,319.5,,,,,46.49,18.81,65.30,21.83,,,,,,,,,,,,,,,,,
Suwanvecho & Brockelman 2012; Reichard & Barelli 2008 (Group LB),,Hylobates,H. lar,"Khlong Sai, Khao Yai, Thailand",,,,,2001,14.25,,750.00,1774.00,,,,6199.00,38.70,,,1,5,12,329.0,,,,,47.11,18.73,65.84,22.05,,,,,,,,,,,,,,,,,
Suwanvecho & Brockelman 2012; Reichard & Barelli 2008 (Group PC),,Hylobates,H. pileatus,"Khlong Sai, Khao Yai, Thailand",,,,,2001,14.25,,750.00,1774.00,,,,6199.00,38.20,4.136460554,1.03,1,7,12,289.5,,,,,46.67,19.14,65.81,21.35,,,,,,,,,,,,,,,,,
Kanwatanakid-Savini et al. 2009,,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,Continuous focal gender sampling one hour sessions,,,2001-2003,14.26,,745,2360,,,,6199,,15.90,4.00,5,,29,,33,32,27,1,,33.59,,,,0.3,0.3,,,,,,,,,,,,,,
Suwanvecho et al. 2017 (Group A),,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,2003-2011,14.26,101.22,770.00,2100,,,22.4,,25.00,,,1,5,108,,>106,,,,,,,,,,,,,,,,,,,,,,,,
Suwanvecho et al. 2017 (Group A),,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,2006-2011,14.26,101.22,770.00,2100,,,22.4,,25.00,,,1,5,60,,>73,,,,,,,,,,,,,,,,,,,,,,,,
Whitington & Treesucon 1991 (Group A),,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,1983-1984; 1988-1990,14.26,,795,3000,,,,6199,38.00,,,1,,36,,76,53,38,,,,,,,,,,,,,,,,,,,,,,
"Bartlett 1999, 2009; Reichard & Barelli 2008 (Group A)",,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,1994-1995,14.26,,795.00,2695.20,,,,6199,25.40,15.90,4.00,1,5,13,697.3,,,,,,,,,,,,,,,,,,,,,,,,,
"Bartlett 1999, 2009; Reichard & Barelli 2008 (Group A,C)",,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,1994-1995,14.26,,795.00,2695.20,,,,6199,23.40,15.90,4.00,2,11,13,1137.8,135,42,31,1,46.70,18.80,65.50,24.50,1.30,8.70,8.7,,,,,,,,,,,,,,
"Bartlett 1999, 2009; Reichard & Barelli 2008 (Group C)",,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,1994-1995,14.26,,795.00,2695.20,,,,6199,21.40,15.90,4.00,1,6,13,440.5,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett et al. 2015 (Group A),,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,2002,14.26,,,2200,,,,,24.19,,,1,2,2,,4,4,4,,,,,,,,,,,,,,,,,,,,,,
Bartlett et al. 2015 (Group A),,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,2004,14.26,,,2200,,,,,23.66,,,1,4,2,,3,3,3,,57.8,,,,,,,,,,,,,,,,,,,,
"Nettelbeck 1998 (Groups A, B, C); Bartlett 1999",,Hylobates,H. lar,"Mo Singto, Khao Yai, Thailand",,,,,1995-1996,14.26,,,,,,,,,13.50,6.80,3,15,14,2000,,,,,,,,,,,,,,,,,,,,,,,,,
Tingpalapong et al. 1981; Yoshiyuki 1990,,Hylobates,H. lar,"Saiyok, Kanchanaburi, Thailand",,,,,1976-1977,14.3,,275,,,,,225,,,,2,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Light 2016 (Evergreen group A); Bunyavejchewin et al. 2004,,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.28,99.17,500.00,808.3,40,13,31.68,"18,700",23.26,,,1,6,10,154,,,,,44.5,24.6,69.1,19.2,2,9.9,9.4,,,,,,,,,,,,,,
Light 2016 (Evergreen group B); Bunyavejchewin et al. 2004,,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.28,99.17,520.00,808.3,40,13,31.68,"18,700",16.96,,,1,4,13,212,,,,,35.9,31.5,67.4,19.1,4.2,9.3,6.3,,,,,,,,,,,,,,
"Light 2016 (Group A,B,D,L); Bunyavejchewin et al. 2004",,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.28,99.17,540,808.3,40,13,31.68,"18,700",33.04,5.40,,4,20,14,880,,,,,48.4,16.1,64.6,24.4,3.4,7.6,6.4,,,,,,,,,,,,,,
"Light 2016 (Evergreen groups A,B); Bunyavejchewin et al. 2004",,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.28,99.17,653.00,808.3,40,13,31.68,"18,700",20.11,,,2,10,13,366,,,,,40.6,27.7,68.3,19.1,3,9.6,8,,,,,,,,,,,,,,
Light 2016 (Mosaic group L); Bunyavejchewin et al. 2004,,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.29,99.17,480.00,808.3,40,13,31.68,"18,700",31.09,,,1,4,8,122,,,,,50.4,0.1,50.5,41.8,1.8,5.5,4.6,,,,,,,,,,,,,,
"Light 2016 (Mosaic group D,L); Bunyavejchewin et al. 2004",,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.29,99.17,505,808.3,40,13,31.68,"18,700",45.97,,,2,10,13,516,,,,,55.9,5.1,61,29.4,3.7,5.9,5,,,,,,,,,,,,,,
Light 2016 (Mosaic group D); Bunyavejchewin et al. 2004,,Hylobates,H. lar,"Khao Nang Rum, Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Instantaneous focal sampling every five minutes,,MCP,2012-2013,15.29,99.17,520.00,808.3,40,13,31.68,"18,700",60.84,,,1,6,13,394,,,,,57.9,6.8,64.7,24.9,4.4,6.1,5.2,,,,,,,,,,,,,,
Phiphatsuwannachai et al. 2017 (Mosaic group),,Hylobates,H. lar,"Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Continuous focal animal sampling one hour sessions,,95% MCP,2014,15.4,99.1,505.00,1552,,,24,2780,20.90,,,1,3,6,266,11,,,,24.2,0.4,24.6,22.6,23.6,29.2,29.2,,,,,,,,,,,,,,
Phiphatsuwannachai et al. 2017 (Evergreen group),,Hylobates,H. lar,"Huai Kha Khaeng, Western Forest Complex, Thailand",Kayah-Karen montane rainforest,Continuous focal animal sampling one hour sessions,,95% MCP,2014,15.4,99.1,653.00,1552,,,24,2780,12.40,,,1,4,6,260,18,,,,35.9,20.6,56.5,5.8,11.8,25.9,25.9,,,,,,,,,,,,,,
Umponjan et al. 2007; Hassel-Finnegan et al. 2008; Elder 2009; Borries et al. 20,,Hylobates,H. lar,"Mai Sot Yai, Phu Khieo, Thailand",,,,,2004,16.27,,700.00,1100.00,,,,4800.00,59.71,8,2.5,1,4,12,341.0,,,,,,,58.00,22.00,6.00,0.00,0,,,,,,,,,,,,,,
Ruppell 2013; Ahumada et al. 2011,,Nomascus,N. leucogenys,"Nam Kading, Bolikhamxay, Laos",,,,,2012,18.4,,800.00,3264.00,,,,1690.00,37.87,,,3,12,12,1152.0,,,,,26.90,3.50,30.40,68.80,0.30,0.50,0.5,,,,,,,,,,,,,,
